Unnamed: 0,name,full_name,description,forks_count,stargazers_count,watchers_count,open_issues_count
495,dbusmenu-qt,src-openeuler/dbusmenu-qt,,4,0,131,1
3196,papi,src-openeuler/papi,,6,0,130,0
3194,pangomm,src-openeuler/pangomm,,4,0,130,0
573,djvulibre,src-openeuler/djvulibre,,9,1,130,0
3039,openblas,src-openeuler/openblas,,4,0,130,3
463,cscope,src-openeuler/cscope,,4,0,130,0
6013,python-pygments,src-openeuler/python-pygments,,7,0,130,0
310,byacc,src-openeuler/byacc,,6,0,130,0
2041,libmemcached,src-openeuler/libmemcached,,6,0,130,2
6027,python-pymongo,src-openeuler/python-pymongo,,8,0,130,0
896,gflags,src-openeuler/gflags,,5,0,130,0
7121,stix-fonts,src-openeuler/stix-fonts,,2,0,130,0
2955,nototools,src-openeuler/nototools,,4,0,130,2
2138,libstemmer,src-openeuler/libstemmer,,1,0,130,0
1850,libXScrnSaver,src-openeuler/libXScrnSaver,,2,0,130,0
5112,python-atomicwrites,src-openeuler/python-atomicwrites,,3,0,130,0
5116,python-augeas,src-openeuler/python-augeas,,3,0,130,0
2976,nvml,src-openeuler/nvml,,6,0,130,4
1005,gnu-efi,src-openeuler/gnu-efi,,4,0,130,1
2134,libsrtp,src-openeuler/libsrtp,,3,0,130,0
5129,python-backports_abc,src-openeuler/python-backports_abc,,3,0,130,0
2132,libspectre,src-openeuler/libspectre,,2,0,130,0
7146,switcheroo-control,src-openeuler/switcheroo-control,,3,0,130,0
449,crash-gcore-command,src-openeuler/crash-gcore-command,,3,0,130,1
987,gnome-session,src-openeuler/gnome-session,,4,0,130,0
5158,python-blinker,src-openeuler/python-blinker,,3,0,130,0
450,crash-trace-command,src-openeuler/crash-trace-command,,3,0,130,1
5690,python-linecache2,src-openeuler/python-linecache2,,3,0,130,0
2586,ninja-build,src-openeuler/ninja-build,,6,0,130,0
934,glib,src-openeuler/glib,,4,0,130,1
5523,python-greenlet,src-openeuler/python-greenlet,,7,0,130,1
397,cmocka,src-openeuler/cmocka,,3,0,130,0
1864,libXp,src-openeuler/libXp,,2,0,130,0
553,dejagnu,src-openeuler/dejagnu,,1,0,130,0
5551,python-httpretty,src-openeuler/python-httpretty,,3,0,130,0
357,check,src-openeuler/check,,2,0,130,0
5564,python-hypothesis,src-openeuler/python-hypothesis,,3,0,130,1
5574,python-imagesize,src-openeuler/python-imagesize,,2,0,130,0
5732,python-mimeparse,src-openeuler/python-mimeparse,,2,0,130,0
1155,help2man,src-openeuler/help2man,,2,0,130,2
7261,tix,src-openeuler/tix,,3,0,130,1
2972,numpy,src-openeuler/numpy,,8,0,130,1
5644,python-keyring,src-openeuler/python-keyring,,6,0,130,0
7027,sil-nuosu-fonts,src-openeuler/sil-nuosu-fonts,,1,0,130,0
7247,tidy,src-openeuler/tidy,Utility to clean up and pretty print HTML/XHTML/XML,8,0,130,1
3102,openvpn,src-openeuler/openvpn,,7,0,130,1
5715,python-markdown,src-openeuler/python-markdown,,7,0,130,0
7258,tinyxml2,src-openeuler/tinyxml2,,3,0,130,1
2010,libipt,src-openeuler/libipt,Intel(R) Processor Trace Decoder Library,6,0,130,0
7028,sil-padauk-fonts,src-openeuler/sil-padauk-fonts,,2,0,130,0
5694,python-lit,src-openeuler/python-lit,,3,0,130,0
3073,openscap,src-openeuler/openscap,,8,0,130,0
2007,libindicator,src-openeuler/libindicator,,2,0,130,0
1087,gssdp,src-openeuler/gssdp,,3,0,130,1
1124,gupnp-igd,src-openeuler/gupnp-igd,,3,0,130,0
2560,neon,src-openeuler/neon,,4,0,130,0
7082,spice-gtk,src-openeuler/spice-gtk,,4,0,130,0
445,cppunit,src-openeuler/cppunit,,2,0,130,0
6360,python-traceback2,src-openeuler/python-traceback2,,3,0,130,0
443,cppcheck,src-openeuler/cppcheck,,3,0,130,0
971,gnome-icon-theme,src-openeuler/gnome-icon-theme,,2,0,130,0
1095,gstreamer1-plugins-bad-free,src-openeuler/gstreamer1-plugins-bad-free,,10,1,130,1
5374,python-docutils,src-openeuler/python-docutils,,10,0,130,0
6357,python-tornado,src-openeuler/python-tornado,,9,0,130,0
1098,gtest,src-openeuler/gtest,,2,0,130,0
432,copy-jdk-configs,src-openeuler/copy-jdk-configs,,3,0,130,0
5397,python-enchant,src-openeuler/python-enchant,,5,0,130,1
1818,lapack,src-openeuler/lapack,,5,0,130,0
6345,python-texttable,src-openeuler/python-texttable,"Python module to generate a formatted text table, using ASCII characters",5,0,130,0
2005,libimagequant,src-openeuler/libimagequant,,4,0,130,0
5414,python-extras,src-openeuler/python-extras,,2,0,130,0
6339,python-testscenarios,src-openeuler/python-testscenarios,,2,0,130,0
6310,python-sure,src-openeuler/python-sure,,4,0,130,0
2105,librdkafka,src-openeuler/librdkafka,,3,0,130,0
1121,gupnp,src-openeuler/gupnp,,5,0,130,2
961,gnome-common,src-openeuler/gnome-common,,1,0,130,0
1097,gstreamer1-plugins-good,src-openeuler/gstreamer1-plugins-good,,8,0,130,0
3812,perl-IO-String,src-openeuler/perl-IO-String,,1,0,130,0
3550,perl-Digest-HMAC,src-openeuler/perl-Digest-HMAC,,1,0,130,0
7596,xorg-x11-drv-intel,src-openeuler/xorg-x11-drv-intel,X.org X11 Intel video driver,6,0,130,0
3614,perl-ExtUtils-CBuilder,src-openeuler/perl-ExtUtils-CBuilder,,2,0,130,0
4368,perl-Sub-Install,src-openeuler/perl-Sub-Install,,1,0,130,0
2277,lua-lunit,src-openeuler/lua-lunit,,2,0,130,0
2278,lua-posix,src-openeuler/lua-posix,,2,0,130,0
7588,xorg-x11-apps,src-openeuler/xorg-x11-apps,,3,0,130,0
2436,meson,src-openeuler/meson,,5,0,130,0
4352,perl-String-ShellQuote,src-openeuler/perl-String-ShellQuote,,1,0,130,0
4322,perl-Socket6,src-openeuler/perl-Socket6,,2,0,130,0
661,egl-wayland,src-openeuler/egl-wayland,,5,0,130,2
4290,perl-SGMLSpm,src-openeuler/perl-SGMLSpm,,2,0,130,0
2214,libzip,src-openeuler/libzip,,2,0,130,0
1662,jsoncpp,src-openeuler/jsoncpp,,7,0,130,0
662,eglexternalplatform,src-openeuler/eglexternalplatform,,2,0,130,1
3634,perl-Fedora-VSP,src-openeuler/perl-Fedora-VSP,,3,0,130,1
1500,javapackages-tools,src-openeuler/javapackages-tools,,3,0,130,2
4237,perl-Pod-Markdown,src-openeuler/perl-Pod-Markdown,,2,0,130,0
